date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:29:12	16376/16376	---M-Z	200	added ('OK')	text/css	etag:%223ff8-655ba786-f2f08bc44f6320f5;gz%22	https://themephi.net/template/eduan/eduan/assets/css/swiper-bundle.min.css	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/css/swiper-bundle.min.css	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:13	413691/413691	---M-Z	200	added ('OK')	text/css	etag:%2264ffb-655ba786-8cb2c1bb069626dc;gz%22	https://themephi.net/template/eduan/eduan/assets/css/main.css	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/css/main.css	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:13	249240/249240	---M-Z	200	added ('OK')	text/html	etag:%223cd98-655ba786-87760a3cadd83816;gz%22	https://themephi.net/template/eduan/eduan/index.html	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/index.html	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:13	2683/2683	---M--	200	added ('OK')	image/png	etag:%22a7b-655ba786-d8064a7b3babb6f0;;;%22	https://themephi.net/template/eduan/eduan/assets/img/logo/logo-white.png	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/img/logo/logo-white.png	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:13	3176/3176	---M--	200	added ('OK')	image/png	etag:%22c68-655ba786-cbe26e57da36e329;;;%22	https://themephi.net/template/eduan/eduan/assets/img/logo/logo.png	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/img/logo/logo.png	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:14	177031/177031	---M-Z	200	added ('OK')	text/html	etag:%222b387-655ba786-a5271d6153e6a412;gz%22	https://themephi.net/template/eduan/eduan/index-2.html	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/index-2.html	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:14	116780/116780	---M-Z	200	added ('OK')	text/html	etag:%221c82c-655ba786-eb0f5cc349b986e;gz%22	https://themephi.net/template/eduan/eduan/index-3.html	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/index-3.html	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:14	107345/107345	---M-Z	200	added ('OK')	text/html	etag:%221a351-655ba786-1ac818e831557692;gz%22	https://themephi.net/template/eduan/eduan/index-4.html	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/index-4.html	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:15	93206/93206	---M-Z	200	added ('OK')	text/html	etag:%2216c16-655ba786-fc2eaf4f26b575a6;gz%22	https://themephi.net/template/eduan/eduan/index-6.html	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/index-6.html	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:15	93440/93440	---M-Z	200	added ('OK')	text/html	etag:%2216d00-655ba786-da5e0262bc8a8f5b;gz%22	https://themephi.net/template/eduan/eduan/index-7.html	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/index-7.html	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:15	120648/120648	---M-Z	200	added ('OK')	text/html	etag:%221d748-655ba786-21a0531875b2a078;gz%22	https://themephi.net/template/eduan/eduan/index-8.html	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/index-8.html	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:15	79291/79291	---M-Z	200	added ('OK')	text/html	etag:%22135bb-655ba786-eb888469b1a34920;gz%22	https://themephi.net/template/eduan/eduan/index-9.html	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/index-9.html	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:15	178411/178411	---M-Z	200	added ('OK')	text/html	etag:%222b8eb-655ba786-746d5e4f73f3bb9a;gz%22	https://themephi.net/template/eduan/eduan/index-10.html	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/index-10.html	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:16	48868/48868	---M-Z	200	added ('OK')	text/html	etag:%22bee4-655ba786-b853cbfc9a5b1459;gz%22	https://themephi.net/template/eduan/eduan/course.html	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/course.html	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:16	40351/40351	---M-Z	200	added ('OK')	text/html	etag:%229d9f-655ba786-da7a1de8bb1a9995;gz%22	https://themephi.net/template/eduan/eduan/course-2.html	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/course-2.html	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:16	44563/44563	---M-Z	200	added ('OK')	text/html	etag:%22ae13-655ba786-ca57064c0042ebfe;gz%22	https://themephi.net/template/eduan/eduan/course-details.html	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/course-details.html	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:16	29123/29123	---M-Z	200	added ('OK')	text/html	etag:%2271c3-655ba786-b12661592ede0fa2;gz%22	https://themephi.net/template/eduan/eduan/about.html	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/about.html	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:17	25397/25397	---M-Z	200	added ('OK')	text/html	etag:%226335-655ba786-50efdcc8e4471329;gz%22	https://themephi.net/template/eduan/eduan/team.html	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/team.html	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:17	31430/31430	---M-Z	200	added ('OK')	text/html	etag:%227ac6-655ba786-160de99fce530cfb;gz%22	https://themephi.net/template/eduan/eduan/team-details.html	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/team-details.html	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:17	23987/23987	---M-Z	200	added ('OK')	text/html	etag:%225db3-655ba786-5569be5b62a71a12;gz%22	https://themephi.net/template/eduan/eduan/event.html	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/event.html	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:17	21884/21884	---M-Z	200	added ('OK')	text/html	etag:%22557c-655ba786-4f676281f528eeda;gz%22	https://themephi.net/template/eduan/eduan/event-details.html	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/event-details.html	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:18	23907/23907	---M-Z	200	added ('OK')	text/html	etag:%225d63-655ba786-5df2502a3b52934e;gz%22	https://themephi.net/template/eduan/eduan/price.html	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/price.html	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:18	56669/56669	---M-Z	200	added ('OK')	text/html	etag:%22dd5d-655ba786-7aff0c68c918e52d;gz%22	https://themephi.net/template/eduan/eduan/gallery.html	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/gallery.html	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:18	22758/22758	---M-Z	200	added ('OK')	text/html	etag:%2258e6-655ba786-d21772af5f15fb7c;gz%22	https://themephi.net/template/eduan/eduan/sign-up.html	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/sign-up.html	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:18	21640/21640	---M-Z	200	added ('OK')	text/html	etag:%225488-655ba786-26fe6c2cce096443;gz%22	https://themephi.net/template/eduan/eduan/sign-in.html	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/sign-in.html	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:19	17697/17697	---M-Z	200	added ('OK')	text/html	etag:%224521-655ba786-95e3f1e2a00f36b6;gz%22	https://themephi.net/template/eduan/eduan/404.html	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/404.html	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:19	24475/24475	---M-Z	200	added ('OK')	text/html	etag:%225f9b-655ba786-9803909174cbf376;gz%22	https://themephi.net/template/eduan/eduan/blog.html	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/blog.html	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:19	42407/42407	---M-Z	200	added ('OK')	text/html	etag:%22a5a7-655ba786-50f954e2da866bbf;gz%22	https://themephi.net/template/eduan/eduan/blog-details.html	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/blog-details.html	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:20	24224/24224	---M-Z	200	added ('OK')	text/html	etag:%225ea0-655ba786-e253fa1a8bd86d20;gz%22	https://themephi.net/template/eduan/eduan/contact.html	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/contact.html	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:20	70570/70570	---M--	200	added ('OK')	image/jpeg	etag:%22113aa-655ba786-2139cd8e22a8d359;;;%22	https://themephi.net/template/eduan/eduan/assets/img/banner/5/bg.jpg	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/img/banner/5/bg.jpg	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:20	825/825	---M--	200	added ('OK')	image/png	etag:%22339-655ba786-ce5a39e57195974e;;;%22	https://themephi.net/template/eduan/eduan/assets/img/banner/2/line.png	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/img/banner/2/line.png	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:20	1692/1692	---M--	200	added ('OK')	image/png	etag:%2269c-655ba786-fbc4e28e4aa1ca0;;;%22	https://themephi.net/template/eduan/eduan/assets/img/banner/2/tutor-1.png	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/img/banner/2/tutor-1.png	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:21	2608/2608	---M--	200	added ('OK')	image/png	etag:%22a30-655ba786-9d442e811aed0d9d;;;%22	https://themephi.net/template/eduan/eduan/assets/img/banner/2/tutor-2.png	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/img/banner/2/tutor-2.png	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:21	2395/2395	---M--	200	added ('OK')	image/png	etag:%2295b-655ba786-16ad0d5fab2eea24;;;%22	https://themephi.net/template/eduan/eduan/assets/img/banner/2/tutor-3.png	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/img/banner/2/tutor-3.png	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:21	2479/2479	---M--	200	added ('OK')	image/png	etag:%229af-655ba786-b76b991beb811e9e;;;%22	https://themephi.net/template/eduan/eduan/assets/img/banner/2/tutor-4.png	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/img/banner/2/tutor-4.png	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:22	41670/41670	---M--	200	added ('OK')	image/jpeg	etag:%22a2c6-655ba786-b8b4bc0924ba5e61;;;%22	https://themephi.net/template/eduan/eduan/assets/img/feature/5/1.jpg	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/img/feature/5/1.jpg	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:22	8634/8634	---M--	200	added ('OK')	image/jpeg	etag:%2221ba-655ba786-2b2ea4d0ac5b008b;;;%22	https://themephi.net/template/eduan/eduan/assets/img/course/1/1.jpg	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/img/course/1/1.jpg	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:22	1122/1122	---M--	200	added ('OK')	image/png	etag:%22462-655ba786-91c4b2672dac2807;;;%22	https://themephi.net/template/eduan/eduan/assets/img/course/1/v1.png	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/img/course/1/v1.png	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:22	6518/6518	---M--	200	added ('OK')	image/jpeg	etag:%221976-655ba786-c029c1b2112a2b73;;;%22	https://themephi.net/template/eduan/eduan/assets/img/course/1/2.jpg	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/img/course/1/2.jpg	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:22	849/849	---M--	200	added ('OK')	image/png	etag:%22351-655ba786-90370d48c8e91029;;;%22	https://themephi.net/template/eduan/eduan/assets/img/course/1/v2.png	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/img/course/1/v2.png	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:23	6604/6604	---M--	200	added ('OK')	image/jpeg	etag:%2219cc-655ba786-229e5c7838690a8;;;%22	https://themephi.net/template/eduan/eduan/assets/img/course/1/3.jpg	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/img/course/1/3.jpg	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:23	1616/1616	---M--	200	added ('OK')	image/png	etag:%22650-655ba786-85ec9590b51aed53;;;%22	https://themephi.net/template/eduan/eduan/assets/img/course/1/v3.png	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/img/course/1/v3.png	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:23	9375/9375	---M--	200	added ('OK')	image/jpeg	etag:%22249f-655ba786-e3c1fac2c6cd737b;;;%22	https://themephi.net/template/eduan/eduan/assets/img/course/1/4.jpg	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/img/course/1/4.jpg	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:23	1122/1122	---M--	200	added ('OK')	image/png	etag:%22462-655ba786-eadb04ff366244f6;;;%22	https://themephi.net/template/eduan/eduan/assets/img/course/1/v4.png	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/img/course/1/v4.png	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:24	5381/5381	---M--	200	added ('OK')	image/jpeg	etag:%221505-655ba786-a8310a3bbd3f6b6f;;;%22	https://themephi.net/template/eduan/eduan/assets/img/course/1/5.jpg	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/img/course/1/5.jpg	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:24	1482/1482	---M--	200	added ('OK')	image/png	etag:%225ca-655ba786-afb9e82a11dcf37b;;;%22	https://themephi.net/template/eduan/eduan/assets/img/course/1/v5.png	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/img/course/1/v5.png	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:24	9129/9129	---M--	200	added ('OK')	image/jpeg	etag:%2223a9-655ba786-dcf888ea961810;;;%22	https://themephi.net/template/eduan/eduan/assets/img/course/1/6.jpg	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/img/course/1/6.jpg	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:24	1000/1000	---M--	200	added ('OK')	image/png	etag:%223e8-655ba786-5babf5934a7b6780;;;%22	https://themephi.net/template/eduan/eduan/assets/img/course/1/v6.png	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/img/course/1/v6.png	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:25	7970/7970	---M--	200	added ('OK')	image/jpeg	etag:%221f22-655ba786-9194f7580a9f7b24;;;%22	https://themephi.net/template/eduan/eduan/assets/img/course/1/7.jpg	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/img/course/1/7.jpg	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:25	1122/1122	---M--	200	added ('OK')	image/png	etag:%22462-655ba786-336d721ab92dc87;;;%22	https://themephi.net/template/eduan/eduan/assets/img/course/1/v7.png	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/img/course/1/v7.png	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:25	9240/9240	---M--	200	added ('OK')	image/jpeg	etag:%222418-655ba786-fef43ed2adfac16d;;;%22	https://themephi.net/template/eduan/eduan/assets/img/course/1/8.jpg	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/img/course/1/8.jpg	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:25	849/849	---M--	200	added ('OK')	image/png	etag:%22351-655ba786-5201ba2cf12fb491;;;%22	https://themephi.net/template/eduan/eduan/assets/img/course/1/v8.png	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/img/course/1/v8.png	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:26	92492/92492	---M--	200	added ('OK')	image/png	etag:%221694c-655ba786-f3569d841d8c4475;;;%22	https://themephi.net/template/eduan/eduan/assets/img/about/4/1.png	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/img/about/4/1.png	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:26	20853/20853	---M--	200	added ('OK')	image/jpeg	etag:%225175-655ba786-8d7c296cf2f78e77;;;%22	https://themephi.net/template/eduan/eduan/assets/img/teacher/5/1.jpg	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/img/teacher/5/1.jpg	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:27	95369/95369	---M--	200	added ('OK')	image/jpeg	etag:%2217489-655ba786-4cd5513ae26069c8;;;%22	https://themephi.net/template/eduan/eduan/assets/img/video/5/bg.jpg	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/img/video/5/bg.jpg	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:27	12972/12972	---M--	200	added ('OK')	image/jpeg	etag:%2232ac-655ba786-916f62d3ed8ad149;;;%22	https://themephi.net/template/eduan/eduan/assets/img/teacher/5/3.jpg	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/img/teacher/5/3.jpg	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:27	38860/38860	---M--	200	added ('OK')	image/jpeg	etag:%2297cc-655ba786-3267efd774db3be1;;;%22	https://themephi.net/template/eduan/eduan/assets/img/teacher/5/2.jpg	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/img/teacher/5/2.jpg	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:28	31544/31544	---M--	200	added ('OK')	image/jpeg	etag:%227b38-655ba786-6dac8103a00e1dc4;;;%22	https://themephi.net/template/eduan/eduan/assets/img/event/5/1.jpg	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/img/event/5/1.jpg	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:28	89501/89501	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215d9d-655ba786-a46cf036b03b5bdf;gz%22	https://themephi.net/template/eduan/eduan/assets/js/jquery.min.js	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/js/jquery.min.js	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:28	80420/80420	---M-Z	200	added ('OK')	application/x-javascript	etag:%2213a24-655ba786-4d7e9c3ec774fe44;gz%22	https://themephi.net/template/eduan/eduan/assets/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/js/bootstrap.bundle.min.js	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:28	142399/142399	---M-Z	200	added ('OK')	application/x-javascript	etag:%2222c3f-655ba786-435bd8af2e99b17c;gz%22	https://themephi.net/template/eduan/eduan/assets/js/swiper-bundle.min.js	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/js/swiper-bundle.min.js	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:29	4019/4019	---M-Z	200	added ('OK')	application/x-javascript	etag:%22fb3-655ba786-ff98b62dad80e79a;gz%22	https://themephi.net/template/eduan/eduan/assets/js/jquery.meanmenu.min.js	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/js/jquery.meanmenu.min.js	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:29	8416/8416	---M-Z	200	added ('OK')	application/x-javascript	etag:%2220e0-655ba786-2e0f06ec05a61c01;gz%22	https://themephi.net/template/eduan/eduan/assets/js/wow.min.js	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/js/wow.min.js	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:29	2945/2945	---M-Z	200	added ('OK')	application/x-javascript	etag:%22b81-655ba786-e433602d88c1dc88;gz%22	https://themephi.net/template/eduan/eduan/assets/js/jquery.nice-select.min.js	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/js/jquery.nice-select.min.js	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:29	2041/2041	---M-Z	200	added ('OK')	application/x-javascript	etag:%227f9-655ba786-3441c45940101936;gz%22	https://themephi.net/template/eduan/eduan/assets/js/jquery.scrollUp.min.js	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/js/jquery.scrollUp.min.js	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:30	20219/20219	---M-Z	200	added ('OK')	application/x-javascript	etag:%224efb-655ba786-7733e42da0b9a15;gz%22	https://themephi.net/template/eduan/eduan/assets/js/jquery.magnific-popup.min.js	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/js/jquery.magnific-popup.min.js	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:30	10266/10266	---M-Z	200	added ('OK')	application/x-javascript	etag:%22281a-655ba786-a80f2f13dc9fe404;gz%22	https://themephi.net/template/eduan/eduan/assets/js/odometer.min.js	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/js/odometer.min.js	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:30	4422/4422	---M-Z	200	added ('OK')	application/x-javascript	etag:%221146-655ba786-9965c8adfa279a76;gz%22	https://themephi.net/template/eduan/eduan/assets/js/appear.min.js	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/js/appear.min.js	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:30	20588/20588	---M-Z	200	added ('OK')	application/x-javascript	etag:%22506c-655ba786-6495baae98869d0d;gz%22	https://themephi.net/template/eduan/eduan/assets/js/main.js	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/js/main.js	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:31	109100/109100	---M--	200	added ('OK')	font/woff2	etag:%221aa2c-655ba786-f0ad6ff487f1f43c;;;%22	https://themephi.net/template/eduan/eduan/assets/webfonts/fa-brands-400.woff2	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/webfonts/fa-brands-400.woff2	(from https://themephi.net/template/eduan/eduan/assets/css/fontawesome-all.min.css)
16:29:31	189268/189268	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%222e354-655ba786-cab8c7e185c1702b;gz%22	https://themephi.net/template/eduan/eduan/assets/webfonts/fa-brands-400.ttf	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/webfonts/fa-brands-400.ttf	(from https://themephi.net/template/eduan/eduan/assets/css/fontawesome-all.min.css)
16:29:32	436564/436564	---M--	200	added ('OK')	font/woff2	etag:%226a954-655ba786-dabe5cba1e48d94;;;%22	https://themephi.net/template/eduan/eduan/assets/webfonts/fa-duotone-900.woff2	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/webfonts/fa-duotone-900.woff2	(from https://themephi.net/template/eduan/eduan/assets/css/fontawesome-all.min.css)
16:29:33	1235592/1235592	---MCZ	200	added ('OK')	application/x-font-ttf	etag:%2212da88-655ba786-6c8ba9483477c205;gz%22	https://themephi.net/template/eduan/eduan/assets/webfonts/fa-duotone-900.ttf	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/webfonts/fa-duotone-900.ttf	(from https://themephi.net/template/eduan/eduan/assets/css/fontawesome-all.min.css)
16:29:34	392560/392560	---M--	200	added ('OK')	font/woff2	etag:%225fd70-655ba786-9129ebbe81db5a8;;;%22	https://themephi.net/template/eduan/eduan/assets/webfonts/fa-regular-400.woff2	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/webfonts/fa-regular-400.woff2	(from https://themephi.net/template/eduan/eduan/assets/css/fontawesome-all.min.css)
16:29:35	432524/432524	---M--	200	added ('OK')	font/woff2	etag:%226998c-655ba786-de1b302a1e95a226;;;%22	https://themephi.net/template/eduan/eduan/assets/webfonts/fa-light-300.woff2	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/webfonts/fa-light-300.woff2	(from https://themephi.net/template/eduan/eduan/assets/css/fontawesome-all.min.css)
